 (11072696)	00005318	2014-10-13	1153.44	1899-12-30
 (11072696)	00005318	2014-10-13	1153.44	1899-12-30
 ТОВ "БаДМ"	DZ35907423-3	2014-01-03	153.5	2014-01-18
 ТзОВ "Аптека 3І"	328733	2014-07-03	2127.7900000000004	2014-07-06
 ТзОВ "Аптека 3І"	328733	2014-07-03	2127.7900000000004	2014-07-06
 ООО "ФРА-М"	295330	2014-10-01	5413.180000000001	2014-10-02
 ООО "ФРА-М"	295301	2014-10-01	787.02	2014-10-02
 ТзОВ ТДК "Вест"	ЛВ000030597	2015-03-24	389.46999999999997	2015-03-25
 Товариство з обмеженою відповідальністю "Тетафарм"	РН00015443	2015-03-18	2157.21	2015-04-01
 Товариство з обмеженою відповідальністю "Тетафарм"	РН00015444	2015-03-18	26.449999999999996	2015-04-01
 Товариство з обмеженою відповідальністю "Тетафарм"	РН00016885	2015-03-25	1808.5500000000002	2015-04-08
